Row Labels,Average of Time to train
(blank),
Adam fixed,29.78925972
Adam exp_decay,43.77781931
Adagrad fixed,51.11589678
Momentum exp_decay,52.66318635
GD exp_decay,52.9624784
Adagrad exp_decay,65.19003663
GD fixed,65.52644777
Grand Total,47.59959863
